scale,year,count
Connor-Davidson-10,2020,12
Connor-Davidson-10,2021,24
Connor-Davidson-10,2022,26
Connor-Davidson-10,2023,24
Connor-Davidson-10,2024,25
Connor-Davidson-10,2025,29
CASP-19,2000,0
CASP-19,2001,0
CASP-19,2002,0
CASP-19,2003,1
CASP-19,2004,0
CASP-19,2005,0
CASP-19,2006,1
CASP-19,2007,1
CASP-19,2008,4
CASP-19,2009,2
CASP-19,2010,3
CASP-19,2011,6
CASP-19,2012,3
CASP-19,2013,8
CASP-19,2014,7
CASP-19,2015,15
CASP-19,2016,7
CASP-19,2017,3
CASP-19,2018,12
CASP-19,2019,11
CASP-19,2020,12
CASP-19,2021,10
CASP-19,2022,8
CASP-19,2023,8
CASP-19,2024,10
CASP-19,2025,10
PDQ-4,2000,4
PDQ-4,2001,2
PDQ-4,2002,3
PDQ-4,2003,2
PDQ-4,2004,4
PDQ-4,2005,1
PDQ-4,2006,3
PDQ-4,2007,5
PDQ-4,2008,13
PDQ-4,2009,6
PDQ-4,2010,10
PDQ-4,2011,13
PDQ-4,2012,11
PDQ-4,2013,21
PDQ-4,2014,6
PDQ-4,2015,14
PDQ-4,2016,10
PDQ-4,2017,7
PDQ-4,2018,11
PDQ-4,2019,10
PDQ-4,2020,12
PDQ-4,2021,11
PDQ-4,2022,9
PDQ-4,2023,13
PDQ-4,2024,6
PDQ-4,2025,4
WHODAS-12,2000,0
WHODAS-12,2001,0
WHODAS-12,2002,0
WHODAS-12,2003,0
WHODAS-12,2004,0
WHODAS-12,2005,0
WHODAS-12,2006,0
WHODAS-12,2007,0
WHODAS-12,2008,0
WHODAS-12,2009,0
WHODAS-12,2010,0
WHODAS-12,2011,0
WHODAS-12,2012,1
WHODAS-12,2013,2
WHODAS-12,2014,1
WHODAS-12,2015,2
WHODAS-12,2016,4
WHODAS-12,2017,1
WHODAS-12,2018,4
WHODAS-12,2019,2
WHODAS-12,2020,4
WHODAS-12,2021,2
WHODAS-12,2022,7
WHODAS-12,2023,9
WHODAS-12,2024,4
WHODAS-12,2025,7
HDRS-21,2000,1
HDRS-21,2001,0
HDRS-21,2002,1
HDRS-21,2003,1
HDRS-21,2004,4
HDRS-21,2005,0
HDRS-21,2006,1
HDRS-21,2007,3
HDRS-21,2008,2
HDRS-21,2009,5
HDRS-21,2010,7
HDRS-21,2011,10
HDRS-21,2012,5
HDRS-21,2013,3
HDRS-21,2014,3
HDRS-21,2015,7
HDRS-21,2016,3
HDRS-21,2017,3
HDRS-21,2018,4
HDRS-21,2019,3
HDRS-21,2020,5
HDRS-21,2021,4
HDRS-21,2022,8
HDRS-21,2023,10
HDRS-21,2024,8
HDRS-21,2025,5
TAS-20,2000,18
TAS-20,2001,26
TAS-20,2002,21
TAS-20,2003,21
TAS-20,2004,19
TAS-20,2005,33
TAS-20,2006,29
TAS-20,2007,42
TAS-20,2008,27
TAS-20,2009,34
TAS-20,2010,49
TAS-20,2011,60
TAS-20,2012,39
TAS-20,2013,53
TAS-20,2014,61
TAS-20,2015,55
TAS-20,2016,38
TAS-20,2017,55
TAS-20,2018,66
TAS-20,2019,75
TAS-20,2020,83
TAS-20,2021,101
TAS-20,2022,86
TAS-20,2023,83
TAS-20,2024,105
TAS-20,2025,119
IRI,2000,1
IRI,2001,1
IRI,2002,3
IRI,2003,7
IRI,2004,4
IRI,2005,9
IRI,2006,8
IRI,2007,5
IRI,2008,12
IRI,2009,12
IRI,2010,15
IRI,2011,16
IRI,2012,27
IRI,2013,28
IRI,2014,40
IRI,2015,35
IRI,2016,40
IRI,2017,49
IRI,2018,54
IRI,2019,58
IRI,2020,69
IRI,2021,88
IRI,2022,97
IRI,2023,73
IRI,2024,80
IRI,2025,70
BASIS-24,2000,2
BASIS-24,2001,2
BASIS-24,2002,1
BASIS-24,2003,0
BASIS-24,2004,3
BASIS-24,2005,1
BASIS-24,2006,1
BASIS-24,2007,2
BASIS-24,2008,2
BASIS-24,2009,2
BASIS-24,2010,4
BASIS-24,2011,3
BASIS-24,2012,0
BASIS-24,2013,2
BASIS-24,2014,2
BASIS-24,2015,4
BASIS-24,2016,1
BASIS-24,2017,1
BASIS-24,2018,1
BASIS-24,2019,3
BASIS-24,2020,3
BASIS-24,2021,5
BASIS-24,2022,6
BASIS-24,2023,2
BASIS-24,2024,0
BASIS-24,2025,3
SPS,2000,6
SPS,2001,3
SPS,2002,3
SPS,2003,3
SPS,2004,6
SPS,2005,6
SPS,2006,5
SPS,2007,3
SPS,2008,1
SPS,2009,5
SPS,2010,10
SPS,2011,8
SPS,2012,7
SPS,2013,5
SPS,2014,8
SPS,2015,7
SPS,2016,6
SPS,2017,10
SPS,2018,5
SPS,2019,10
SPS,2020,7
SPS,2021,15
SPS,2022,4
SPS,2023,8
SPS,2024,10
SPS,2025,9
SAS,2000,10
SAS,2001,8
SAS,2002,16
SAS,2003,17
SAS,2004,14
SAS,2005,18
SAS,2006,15
SAS,2007,18
SAS,2008,14
SAS,2009,17
SAS,2010,13
SAS,2011,14
SAS,2012,13
SAS,2013,18
SAS,2014,14
SAS,2015,17
SAS,2016,11
SAS,2017,9
SAS,2018,13
SAS,2019,7
SAS,2020,12
SAS,2021,11
SAS,2022,7
SAS,2023,7
SAS,2024,4
SAS,2025,8
ADOS-2,2000,0
ADOS-2,2001,0
ADOS-2,2002,0
ADOS-2,2003,0
ADOS-2,2004,0
ADOS-2,2005,0
ADOS-2,2006,0
ADOS-2,2007,0
ADOS-2,2008,0
ADOS-2,2009,0
ADOS-2,2010,1
ADOS-2,2011,0
ADOS-2,2012,0
ADOS-2,2013,0
ADOS-2,2014,4
ADOS-2,2015,5
ADOS-2,2016,10
ADOS-2,2017,23
ADOS-2,2018,23
ADOS-2,2019,22
ADOS-2,2020,36
ADOS-2,2021,61
ADOS-2,2022,73
ADOS-2,2023,61
ADOS-2,2024,73
ADOS-2,2025,87
CARS-2,2000,0
CARS-2,2001,0
CARS-2,2002,0
CARS-2,2003,0
CARS-2,2004,0
CARS-2,2005,0
CARS-2,2006,0
CARS-2,2007,1
CARS-2,2008,0
CARS-2,2009,1
CARS-2,2010,0
CARS-2,2011,1
CARS-2,2012,3
CARS-2,2013,0
CARS-2,2014,2
CARS-2,2015,2
CARS-2,2016,1
CARS-2,2017,3
CARS-2,2018,4
CARS-2,2019,4
CARS-2,2020,4
CARS-2,2021,8
CARS-2,2022,8
CARS-2,2023,11
CARS-2,2024,13
CARS-2,2025,12
NPI,2000,28
NPI,2001,30
NPI,2002,31
NPI,2003,43
NPI,2004,68
NPI,2005,68
NPI,2006,93
NPI,2007,100
NPI,2008,98
NPI,2009,84
NPI,2010,102
NPI,2011,129
NPI,2012,149
NPI,2013,168
NPI,2014,173
NPI,2015,194
NPI,2016,166
NPI,2017,166
NPI,2018,184
NPI,2019,164
NPI,2020,205
NPI,2021,217
NPI,2022,223
NPI,2023,184
NPI,2024,172
NPI,2025,201
TSC-40,2000,0
TSC-40,2001,3
TSC-40,2002,0
TSC-40,2003,0
TSC-40,2004,2
TSC-40,2005,1
TSC-40,2006,1
TSC-40,2007,1
TSC-40,2008,1
TSC-40,2009,0
TSC-40,2010,1
TSC-40,2011,1
TSC-40,2012,0
TSC-40,2013,0
TSC-40,2014,5
TSC-40,2015,1
TSC-40,2016,3
TSC-40,2017,2
TSC-40,2018,2
TSC-40,2019,1
TSC-40,2020,3
TSC-40,2021,1
TSC-40,2022,5
TSC-40,2023,0
TSC-40,2024,6
TSC-40,2025,6
DES,2000,16
DES,2001,14
DES,2002,12
DES,2003,20
DES,2004,18
DES,2005,21
DES,2006,24
DES,2007,27
DES,2008,25
DES,2009,21
DES,2010,21
DES,2011,17
DES,2012,16
DES,2013,19
DES,2014,28
DES,2015,26
DES,2016,21
DES,2017,29
DES,2018,26
DES,2019,25
DES,2020,25
DES,2021,32
DES,2022,40
DES,2023,25
DES,2024,29
DES,2025,39
