year,Foundational claim,Evaluative criterion,Time horizon,Adversity,Measurement proxies,Central tension,aggregate
2002,-0.0022338044243406952,-0.015415442193608629,-0.002605339651618399,-0.0045058478783637675,-0.020011037829673145,-0.03438382816153444,-0.013192550023189845
2003,-0.0024563254935610766,-0.01619819481923782,-0.003661784857753436,-0.006083671273608207,-0.020994652295531487,-0.034308608808588534,-0.013950539591380094
2004,-0.0029102883896935357,-0.015756220774883166,-0.006423031442504172,-0.0050713752515689796,-0.02017456076598041,-0.03394901955727664,-0.014047416030317816
2005,-0.0016798518615514244,-0.01471255814807003,-0.005990108177331318,-0.005024145620672284,-0.01787222385734753,-0.033189620733434275,-0.01307808473306781
2006,-0.0029413888935566515,-0.01571372451911347,-0.005410855295368999,-0.004600524096890214,-0.02005755559252413,-0.033603989469160545,-0.013721339644435669
2007,-0.0013998747262137857,-0.015799465088276038,-0.0021272068913900867,-0.005209788121857947,-0.020353159550804568,-0.035006656745781545,-0.013316025187387328
2008,-0.002472249766474837,-0.01675166635193122,-0.0025502812978911663,-0.004283262378123068,-0.023070471397074636,-0.03565428256721264,-0.014130368959784595
2009,-0.002315308195461016,-0.015245762519850343,-0.0016934634808303147,-0.00438748736408211,-0.020767753486704413,-0.03435897103609599,-0.013128124347170698
2010,-0.0010922243649502262,-0.015625472110537744,-0.002695232764081353,-0.006814820933328109,-0.021189658660856547,-0.03493955401321579,-0.01372616047449496
2011,-0.005790224381507684,-0.017248686991688342,0.0008809870188731281,-0.0029887337557318074,-0.024387399438428315,-0.03209337335020997,-0.01360457181644883
2012,-0.006747930089388473,-0.017141934008012186,0.0023512167146781796,-0.0013076788343909802,-0.023912332464704665,-0.030943605695761732,-0.012950377396263308
2013,-0.0018743419439562906,-0.016774142234814892,-0.000625389344770946,-0.004697519487117895,-0.022374775257893623,-0.03517250902946107,-0.013586446216335785
2014,-0.003207605146473652,-0.017153692709272934,-0.0032206426733795424,-0.004894696622568037,-0.02366283052102829,-0.035601071923607334,-0.014623423266054966
2015,-0.0021049797087833782,-0.01678550181268878,-0.000995940866833038,-0.005114779073596761,-0.02206769263856205,-0.0343505779520338,-0.013569912008749635
2016,-0.0017312578396319882,-0.017995940884766096,-0.003131934453488001,-0.007180150334022818,-0.02218019026619179,-0.035349087799349574,-0.014594760262908379
2017,-0.0020436915656941,-0.01672332705596291,-0.0021856224972377513,-0.004616778375059442,-0.023146275553022202,-0.03597868585461164,-0.014115730150264676
2018,-0.0033105847492452874,-0.016159645013769708,-0.0010689831922903337,-0.0034716503341555398,-0.022803761519144188,-0.034043681711810755,-0.013476384420069301
2019,-0.001360099905382081,-0.016030692552153853,-0.0009596121127679829,-0.004207850109202059,-0.021328155014892245,-0.03610325065056294,-0.013331610057493526
